"code_site";"code_station";"grandeur_hydro";"date_debut_serie";"date_fin_serie";"statut_serie";"code_systeme_alti_serie";"date_obs";"resultat_obs";"code_methode_obs";"libelle_methode_obs";"code_qualification_obs";"libelle_qualification_obs";"continuite_obs_hydro";"longitude";"latitude"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T07:00:00Z";"1972.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T07:00:00Z";"224000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:50:00Z";"1973.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:50:00Z";"225000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:40:00Z";"1971.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:40:00Z";"223000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:30:00Z";"1975.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:30:00Z";"227000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:20:00Z";"1977.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T07:00:00Z";"4";"31";"2024-07-29T06:20:00Z";"228000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
